,PUBMEDID,TITLE,AUTHORS,PUBICATION,PUBDATE,PUBYEAR
0,14295959,HEREDITARY PROXIMAL NEUROGENIC MUSCULAR ATROPHY IN ADULT.,"TSUKAGOSHI H, NAKANISHI T, KONDO K, TSUBAKI T.",Arch Neurol. 1965 Jun;12:597-603. No abstract available.,6/1/1965,1965
3,4233749,Progressive proximal spinal and bulbar muscular atrophy of late onset. A sex-linked recessive trait.,"Kennedy WR, Alter M, Sung JH.",Neurology. 1968 Jul;18(7):671-80. No abstract available.,7/1/1968,1968
6,5439897,Familial adult-onset proximal spinal muscular atrophy. Report of a family with type II hyperlipoproteinemia.,"Quarfordt SH, DeVivo DC, Engel WK, Levy RI, Fredrickson DS.",Arch Neurol. 1970 Jun;22(6):541-9. No abstract available.,6/1/1970,1970
9,5529907,Proximal neurogenic muscular atrophy in adolescence and adulthood with X-linked recessive inheritance. Kugelberg-Welander disease and its variant of late onset in one pedigree.,"Tsukagoshi H, Shoji H, Furukawa T.",Neurology. 1970 Dec;20(12):1188-93. No abstract available.,12/1/1970,1970
12,5170140,[Case of muscular atrophy complicated by bulbar paralysis resulting in death].,"Fujiwara Y, Tanaka M, Okuda M.",Nihon Rinsho. 1971 Aug;29(8):1992-8. Japanese.  No abstract available.,8/1/1971,1971
15,4264884,"[Case of progressive proximal spinal and bulbar muscular atrophy of late onset (Kennedy-Alter-Sung) with gynecomastia, tremors (of the fingers and head), muscle cramps and pains of the lower back and extremities].","Araki S, Ushio K.",Rinsho Shinkeigaku. 1972 Jan;12(1):9-14. Japanese.  No abstract available.,1/1/1972,1972
18,1117317,X-linked spinal and bulbar muscular atrophy of late onset. A separate type of motor neuron disease?,"Stefanis C, Papapetropoulos Th, Scarpalezos S, Lygidakis G, Panayiotopoulos CP.",J Neurol Sci. 1975 Apr;24(4):493-403.,4/1/1975,1975
21,903039,Familial progressive bulbar-spinal muscular atrophy: case report with muscle biopsy study.,"Kurihara T, Araki S, Okamoto S, Shirabe T.",Folia Psychiatr Neurol Jpn. 1977;31(2):225-34.,1/1/1977,1977
24,77364,Anterior-horn cell degeneration and gross calf hypertrophy with adolescent onset. A new spinal muscular atrophy syndrome.,"Pearn J, Hudgson P.",Lancet. 1978 May 20;1(8073):1059-61.,5/20/1978,1978
27,571530,Late-onset X-linked recessive spinal and bulbar muscular atrophy.,"Ringel SP, Lava NS, Treihaft MM, Lubs ML, Lubs HA.",Muscle Nerve. 1978 Jul-Aug;1(4):297-307.,7/1/1978,1978
